commit	cd97e5f
chebyt_n(fixed)	2
trials	2
signals	samplings	stddev	mse	correlaion_mse	res_correlaion_mse	loop_ave	ber	cte	ncte	complete	time(ms)
400	256000	0	0.719703	5.94935e-06	4.93977e-25	54.43	0.283436	27847.7	0.174484	2	2.10391e+07
400	512000	0	0.0861177	2.97443e-06	5.6223e-26	10.64	0.00380333	247.967	0.00155368	2	1.17265e+07
400	1024000	0	0.0870935	1.54071e-06	7.45576e-26	7.89125	0.00267922	175.423	0.00109914	2	1.94508e+07
