signals	samplings	stddev	ber	rber	complete	time(ms)
2	1000	0.01	0.0065545	0.030745	1000	9.312
3	1000	0.01	0.00712367	0.0316497	1000	16.735
4	1000	0.01	0.00543675	0.0308393	1000	32.664
5	1000	0.01	0.0050906	0.0305536	1000	48.226
6	1000	0.01	0.00443817	0.0304677	1000	60.63
7	1000	0.01	0.00294871	0.029344	1000	73.318
8	1000	0.01	0.00358413	0.0303898	1000	75.383
9	1000	0.01	0.00345711	0.0306681	1000	91.618
10	1000	0.01	0.0025851	0.0298372	1000	118.469
11	1000	0.01	0.00281327	0.0314195	1000	127.998
12	1000	0.01	0.00260258	0.0313902	1000	209.172
13	1000	0.01	0.00236931	0.0308052	1000	191.534
14	1000	0.01	0.00269279	0.0319129	1000	217.935
15	1000	0.01	0.002177	0.0314449	1000	247.433
16	1000	0.01	0.00252431	0.0331022	1000	277.191
17	1000	0.01	0.00170288	0.0312429	1000	295.9
18	1000	0.01	0.00201367	0.0326217	1000	339.394
19	1000	0.01	0.00182068	0.0329776	1000	370.73
20	1000	0.01	0.0016214	0.0328593	1000	436.385
21	1000	0.01	0.00164581	0.0328919	1000	443.313
22	1000	0.01	0.00140155	0.0332385	1000	466.847
23	1000	0.01	0.00147026	0.0336134	1000	505.201
24	1000	0.01	0.00136396	0.034069	1000	564.101
25	1000	0.01	0.0015346	0.0347879	1000	617.354
26	1000	0.01	0.00190419	0.0365202	1000	683.893
27	1000	0.01	0.00194744	0.0373832	1000	720.534
28	1000	0.01	0.00211475	0.0391099	1000	788.129
29	1000	0.01	0.0023029	0.0417422	1000	850.581
30	1000	0.01	0.00296313	0.0456643	1000	996.695
31	1000	0.01	0.0038899	0.050182	1000	1103.62
32	1000	0.01	0.00467969	0.0523711	1000	1220.87
33	1000	0.01	0.00664933	0.0620595	1000	1389.17
34	1000	0.01	0.00873809	0.0692086	1000	1514.45
35	1000	0.01	0.0124709	0.0797252	1000	1721.76
36	1000	0.01	0.0192042	0.0959909	1000	2105.7
37	1000	0.01	0.026857	0.110238	1000	2381.02
38	1000	0.01	0.0416253	0.135773	1000	3148.62
39	1000	0.01	0.0598014	0.16199	1000	3514.91
40	1000	0.01	0.0871576	0.197286	1000	4419.28
41	1000	0.01	0.122575	0.230798	1000	5109.18
2	1100	0.01	0.00743682	0.0305773	1000	10.799
3	1100	0.01	0.00549576	0.0301997	1000	21.163
4	1100	0.01	0.00549159	0.0307455	1000	35.312
5	1100	0.01	0.00430055	0.0289689	1000	48.732
6	1100	0.01	0.00357727	0.0295035	1000	64.27
7	1100	0.01	0.00394065	0.030396	1000	81.497
8	1100	0.01	0.00330375	0.0303542	1000	96.477
9	1100	0.01	0.00311374	0.0301459	1000	114.591
10	1100	0.01	0.002925	0.0303521	1000	131.701
11	1100	0.01	0.00318785	0.0311464	1000	159.487
12	1100	0.01	0.0021025	0.0283748	1000	189.251
13	1100	0.01	0.00230357	0.0304539	1000	239.98
14	1100	0.01	0.00264773	0.0313082	1000	281.557
15	1100	0.01	0.00227903	0.0312733	1000	295.638
16	1100	0.01	0.00196864	0.0309539	1000	311.888
17	1100	0.01	0.00212583	0.0316972	1000	368.084
18	1100	0.01	0.00195657	0.0312301	1000	388.949
19	1100	0.01	0.00160507	0.0311813	1000	419.894
20	1100	0.01	0.00160391	0.0312058	1000	476.349
21	1100	0.01	0.00160095	0.0319912	1000	459.524
22	1100	0.01	0.00165277	0.0321419	1000	550.991
23	1100	0.01	0.00176154	0.0332307	1000	588.48
24	1100	0.01	0.00142085	0.033057	999	624.71
25	1100	0.01	0.00138665	0.033788	1000	703.346
26	1100	0.01	0.00149587	0.0338721	1000	755.516
27	1100	0.01	0.00155209	0.0349989	1000	813.197
28	1100	0.01	0.00167464	0.0364024	1000	861.301
29	1100	0.01	0.00193376	0.0376417	1000	953.139
30	1100	0.01	0.00245052	0.0407494	1000	1033.97
31	1100	0.01	0.00301346	0.0446509	1000	1102.28
32	1100	0.01	0.00301145	0.0455525	1000	1250.11
33	1100	0.01	0.00437314	0.0516449	1000	1410.58
34	1100	0.01	0.00514388	0.0558617	1000	1491.75
35	1100	0.01	0.0072227	0.0632602	1000	1724.83
36	1100	0.01	0.0105956	0.0753056	1000	1949.74
37	1100	0.01	0.0140915	0.0845572	1000	2244.43
38	1100	0.01	0.0199604	0.0998287	1000	2571.53
39	1100	0.01	0.0296142	0.116818	1000	3072.35
40	1100	0.01	0.0419005	0.138241	1000	3457.67
41	1100	0.01	0.0662166	0.169191	999	4449.94
42	1100	0.01	0.0948893	0.203847	1000	5565.64
43	1100	0.01	0.133437	0.241553	1000	6378.53
2	1200	0.01	0.00656	0.03062	1000	13.474
3	1200	0.01	0.00640417	0.0305783	1000	24.952
4	1200	0.01	0.00601146	0.0316725	1000	35.086
5	1200	0.01	0.00479917	0.0304185	1000	49.228
6	1200	0.01	0.00414153	0.0294094	1000	63.115
7	1200	0.01	0.00321619	0.0278673	1000	77.076
8	1200	0.01	0.00367437	0.0300244	1000	92.648
9	1200	0.01	0.0028388	0.0291058	1000	111.375
10	1200	0.01	0.00288842	0.029598	1000	126.94
11	1200	0.01	0.00248144	0.0292708	1000	195.155
12	1200	0.01	0.00260146	0.030159	1000	203.216
13	1200	0.01	0.00228494	0.0290091	1000	228.956
14	1200	0.01	0.00176143	0.0292176	1000	258.347
15	1200	0.01	0.00239889	0.0309743	1000	291.77
16	1200	0.01	0.00173302	0.0294747	1000	311.668
17	1200	0.01	0.00204549	0.0308023	1000	360.587
18	1200	0.01	0.00173347	0.030924	1000	379.115
19	1200	0.01	0.0016682	0.0308388	1000	417.478
20	1200	0.01	0.00192267	0.0319874	1000	452.203
21	1200	0.01	0.00137885	0.0308224	1000	504.093
22	1200	0.01	0.00123239	0.0305872	1000	588.013
23	1200	0.01	0.00144308	0.031841	1000	578.834
24	1200	0.01	0.00158625	0.0320469	1000	669.325
25	1200	0.01	0.00140163	0.0324487	1000	676.004
26	1200	0.01	0.00149221	0.0329716	1000	763.309
27	1200	0.01	0.00128938	0.0327437	1000	787.707
28	1200	0.01	0.00154217	0.0343823	1000	887.607
29	1200	0.01	0.00167368	0.0353042	1000	910.771
30	1200	0.01	0.00182522	0.0367623	1000	992.618
31	1200	0.01	0.00212188	0.0389727	999	1077.84
32	1200	0.01	0.00228081	0.0407613	1000	1156.58
33	1200	0.01	0.00275493	0.0430431	999	1305.43
34	1200	0.01	0.00328767	0.0474391	1000	1562.11
35	1200	0.01	0.00465205	0.0523455	1000	1588.2
36	1200	0.01	0.00607315	0.0588862	1000	1700.78
37	1200	0.01	0.00785764	0.0659838	1000	1930.71
38	1200	0.01	0.0119697	0.0784424	1000	2283.56
39	1200	0.01	0.0159517	0.0905991	1000	2494.87
40	1200	0.01	0.0221902	0.103745	1000	2811.64
41	1200	0.01	0.032986	0.121383	1000	3382.95
42	1200	0.01	0.0483748	0.14578	1000	4000.26
43	1200	0.01	0.0747242	0.181534	1000	5061
44	1200	0.01	0.108561	0.216665	1000	6853.01
2	1300	0.01	0.00595231	0.0291392	1000	12.026
3	1300	0.01	0.00626051	0.0312074	1000	21.662
4	1300	0.01	0.00511231	0.0289033	1000	35.902
5	1300	0.01	0.00397615	0.0277591	1000	48.641
6	1300	0.01	0.00368756	0.0290214	1000	62.332
7	1300	0.01	0.00326714	0.028508	1000	77.424
8	1300	0.01	0.00321385	0.0293459	1000	93.609
9	1300	0.01	0.00332188	0.0295091	1000	138.996
10	1300	0.01	0.00297246	0.0289426	1000	142.829
11	1300	0.01	0.00235818	0.0287513	1000	162.951
12	1300	0.01	0.00275192	0.0302991	999	217.741
13	1300	0.01	0.00244006	0.0293085	1000	246.217
14	1300	0.01	0.00210648	0.029193	1000	291.343
15	1300	0.01	0.00177511	0.0285677	999	314.826
16	1300	0.01	0.00203014	0.0296722	1000	334.597
17	1300	0.01	0.00193896	0.0300476	1000	452.248
18	1300	0.01	0.00201043	0.0309127	1000	450.4
19	1300	0.01	0.00161449	0.030335	999	475.661
20	1300	0.01	0.00141823	0.0301717	1000	522.629
21	1300	0.01	0.00156956	0.0306608	1000	575.457
22	1300	0.01	0.00159175	0.0309165	1000	609.206
23	1300	0.01	0.001608	0.031166	999	678.851
24	1300	0.01	0.00153702	0.0317736	1000	705.881
25	1300	0.01	0.00151231	0.0317745	999	753.078
26	1300	0.01	0.0014699	0.0323377	999	826.356
27	1300	0.01	0.00127795	0.0321585	1000	885.523
28	1300	0.01	0.00139286	0.0321769	1000	965.04
29	1300	0.01	0.00170897	0.034442	1000	980.002
30	1300	0.01	0.00161362	0.0352178	1000	1122.19
31	1300	0.01	0.00132313	0.034527	1000	1192.69
32	1300	0.01	0.00154817	0.0364564	1000	1255.93
33	1300	0.01	0.00222103	0.0394932	1000	1381.3
34	1300	0.01	0.00244405	0.0418313	1000	1495.58
35	1300	0.01	0.00318886	0.0451816	1000	1625.23
36	1300	0.01	0.00405009	0.0500003	1000	1784.31
37	1300	0.01	0.00489108	0.0562517	1000	1950.77
38	1300	0.01	0.00678887	0.0616657	999	2219.64
39	1300	0.01	0.00945639	0.0705729	1000	2508.89
40	1300	0.01	0.0122347	0.0811334	1000	2672.93
41	1300	0.01	0.018224	0.0967547	1000	3246.93
42	1300	0.01	0.0276815	0.116656	1000	3716.07
43	1300	0.01	0.0381705	0.129975	1000	4200.69
44	1300	0.01	0.0567796	0.159298	999	5293.96
45	1300	0.01	0.0863018	0.193187	1000	6412.33
46	1300	0.01	0.123797	0.231963	1000	7768.28
2	1400	0.01	0.00819143	0.0323843	1000	12.576
3	1400	0.01	0.0050731	0.0286869	1000	24.079
4	1400	0.01	0.00539357	0.0307077	1000	36.412
5	1400	0.01	0.00552486	0.0316376	1000	50.838
6	1400	0.01	0.00503524	0.0315954	1000	66.509
7	1400	0.01	0.0035799	0.0284028	1000	82.265
8	1400	0.01	0.00341438	0.0302335	1000	126.932
9	1400	0.01	0.00304127	0.0289985	1000	149.861
10	1400	0.01	0.00258629	0.0281547	1000	172.273
11	1400	0.01	0.00281675	0.0293243	1000	206.557
12	1400	0.01	0.00222	0.0280754	1000	251.787
13	1400	0.01	0.00226473	0.0287793	1000	269.54
14	1400	0.01	0.00206388	0.0285708	1000	294.835
15	1400	0.01	0.00189371	0.0284972	1000	326.464
16	1400	0.01	0.00215991	0.0299514	1000	352.193
17	1400	0.01	0.00132672	0.0277649	1000	391.257
18	1400	0.01	0.00186988	0.0300346	1000	523.006
19	1400	0.01	0.00169917	0.0296506	1000	471.8
20	1400	0.01	0.00156639	0.0301297	999	531.527
21	1400	0.01	0.00137881	0.0291	1000	549.142
22	1400	0.01	0.0018012	0.0304373	1000	656.783
23	1400	0.01	0.00143823	0.0299452	1000	638.011
24	1400	0.01	0.0013922	0.0308887	999	701.554
25	1400	0.01	0.00121971	0.0303472	1000	736.868
26	1400	0.01	0.00131989	0.0309032	1000	818.686
27	1400	0.01	0.00136148	0.0313739	1000	879.533
28	1400	0.01	0.00135352	0.0317095	1000	927.681
29	1400	0.01	0.00121079	0.0317409	1000	969.973
30	1400	0.01	0.00141152	0.0326482	1000	1067.11
31	1400	0.01	0.00141503	0.0335259	999	1146.18
32	1400	0.01	0.00172683	0.0357411	1000	1321.98
33	1400	0.01	0.00157989	0.0358498	1000	1437.88
34	1400	0.01	0.00203013	0.0384549	1000	1426.77
35	1400	0.01	0.00222888	0.0399836	999	1596.59
36	1400	0.01	0.00289514	0.0440454	1000	1650.28
37	1400	0.01	0.00356695	0.0469692	1000	1823.85
38	1400	0.01	0.00442696	0.0524404	999	1975.95
39	1400	0.01	0.00600139	0.0600181	1000	2220.83
40	1400	0.01	0.00817805	0.0677205	1000	2427.36
41	1400	0.01	0.0108199	0.0769851	1000	2763.73
42	1400	0.01	0.0149411	0.0876127	1000	3267.31
43	1400	0.01	0.0209264	0.10061	1000	3607.41
44	1400	0.01	0.0317346	0.120834	999	4236.92
45	1400	0.01	0.0488955	0.14844	1000	5263.17
46	1400	0.01	0.0666406	0.172214	1000	5879.04
47	1400	0.01	0.0976665	0.207631	1000	7357.78
48	1400	0.01	0.14002	0.245459	1000	8760.33
2	1500	0.01	0.00615167	0.029564	1000	13.514
3	1500	0.01	0.00596378	0.0307767	1000	24.992
4	1500	0.01	0.00574933	0.0307885	1000	41.82
5	1500	0.01	0.00467013	0.0300341	1000	56.399
6	1500	0.01	0.00407978	0.0288297	1000	70.905
7	1500	0.01	0.00303094	0.0274187	999	88.5115
8	1500	0.01	0.00414925	0.0301291	1000	109.207
9	1500	0.01	0.00355289	0.029759	1000	156.915
10	1500	0.01	0.00266653	0.0281377	999	183.112
11	1500	0.01	0.00276861	0.0287056	1000	206.238
12	1500	0.01	0.002336	0.0287334	1000	262.478
13	1500	0.01	0.00239108	0.0289156	1000	281.44
14	1500	0.01	0.00211752	0.028178	1000	370.53
15	1500	0.01	0.00171822	0.0272305	1000	347.532
16	1500	0.01	0.00204292	0.0286975	1000	415.017
17	1500	0.01	0.00185871	0.0292731	1000	415.638
18	1500	0.01	0.00187356	0.0297737	1000	486.64
19	1500	0.01	0.00190709	0.0294321	1000	497.478
20	1500	0.01	0.00159477	0.0298225	1000	546.176
21	1500	0.01	0.00157708	0.0293978	1000	626.664
22	1500	0.01	0.00141039	0.0297572	1000	630.181
23	1500	0.01	0.00145406	0.0299951	1000	798.273
24	1500	0.01	0.001258	0.0293039	1000	717.689
25	1500	0.01	0.00136384	0.0302974	1000	853.635
26	1500	0.01	0.00157256	0.0306985	1000	842.403
27	1500	0.01	0.00132709	0.0309896	1000	972.409
28	1500	0.01	0.00141521	0.0309251	1000	957.509
29	1500	0.01	0.00138389	0.0317282	1000	1078.07
30	1500	0.01	0.00142167	0.0319308	999	1159.17
31	1500	0.01	0.00110822	0.0318505	1000	1343.54
32	1500	0.01	0.00155533	0.033738	999	1282.4
33	1500	0.01	0.00157972	0.0339906	1000	1423.12
34	1500	0.01	0.00148741	0.0351567	999	1686.69
35	1500	0.01	0.00153653	0.0363796	1000	1711.04
36	1500	0.01	0.00227343	0.0402764	1000	1786.73
37	1500	0.01	0.00280236	0.0427146	1000	1970.8
38	1500	0.01	0.00311242	0.0458692	1000	2088.05
39	1500	0.01	0.00388603	0.0502104	1000	2280.92
40	1500	0.01	0.00518375	0.056053	1000	2526.09
41	1500	0.01	0.00699498	0.0632799	1000	2756.43
42	1500	0.01	0.00918217	0.0707495	1000	3123.89
43	1500	0.01	0.0139018	0.0841206	1000	3538.1
44	1500	0.01	0.0186627	0.097698	1000	3869.57
45	1500	0.01	0.0256234	0.112514	1000	4646.52
46	1500	0.01	0.0389234	0.131483	999	5391.57
47	1500	0.01	0.0540124	0.1556	1000	6431.07
48	1500	0.01	0.0829248	0.191123	999	7707.59
49	1500	0.01	0.119663	0.226154	1000	9761.59
2	1600	0.01	0.0071575	0.0294847	1000	14.228
3	1600	0.01	0.00447646	0.0285688	1000	26.465
4	1600	0.01	0.00481437	0.0284453	1000	41.894
5	1600	0.01	0.00498525	0.0299391	1000	59.111
6	1600	0.01	0.00356448	0.0274928	1000	74.177
7	1600	0.01	0.00378714	0.0294977	1000	93.441
8	1600	0.01	0.00352586	0.0294418	1000	118.529
9	1600	0.01	0.00331229	0.0294132	1000	131.489
10	1600	0.01	0.00241788	0.0273911	1000	175.44
